Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma,Correct Lemmatizer Lemma XML,added information,Keep Word?
aaaa0001.xml,1,1,1,nunc,la,0,nunc,ADV,,nunc,"<words>
<word>
<form xml:lang=""lat"">nunc</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">nunc</hdwd>
<pofs order=""7"">adverb</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>nunc</stem></term>
<pofs order=""7"">adverb</pofs>
<stemtype>adverb</stemtype>
<morph>indeclform</morph>
</infl>
</entry>
</word>
</words>",,,1
aaaa0001.xml,2,1,1,scio,la,0,scio,V,IND,scio,"<words>
<word>
<form xml:lang=""lat"">scio</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">scio</hdwd>
<pofs order=""1"">verb</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>sc</stem><suff>io_</suff></term>
<pofs order=""1"">verb</pofs>
<mood>indicative</mood>
<num>singular</num>
<pers>1st</pers>
<tense>present</tense>
<voice>active</voice>
<stemtype>conj4</stemtype>
</infl>
</entry>
<entry>
<dict>
<hdwd xml:lang=""lat"">scius</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>sc</stem><suff>io_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""3"">ablative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>ius_ia_ium</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>sc</stem><suff>io_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>ius_ia_ium</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>sc</stem><suff>io_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""5"">dative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>ius_ia_ium</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>sc</stem><suff>io_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>ius_ia_ium</stemtype>
</infl>
</entry>
</word>
</words>","<entry>
<dict>
<hdwd xml:lang=""lat"">scio</hdwd>
<pofs order=""1"">verb</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>sc</stem><suff>io_</suff></term>
<pofs order=""1"">verb</pofs>
<mood>indicative</mood>
<num>singular</num>
<pers>1st</pers>
<tense>present</tense>
<voice>active</voice>
<stemtype>conj4</stemtype>
</infl>
</entry>",,
aaaa0001.xml,3,1,1,quid,la,0,quid,PRON,,quis,"<words>
<word>
<form xml:lang=""lat"">quid</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">quis#1</hdwd>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<gend>neuter</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>quid</stem></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""7"">nominative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>interrog</stemtype>
<morph>indeclform</morph>
</infl>
<infl>
<term xml:lang=""lat""><stem>quid</stem></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""4"">accusative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>interrog</stemtype>
<morph>indeclform</morph>
</infl>
</entry>
<entry>
<dict>
<hdwd xml:lang=""lat"">quis#2</hdwd>
<pofs order=""5"">pronoun</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>quid</stem></term>
<pofs order=""5"">pronoun</pofs>
<case order=""7"">nominative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>indef</stemtype>
<morph>indeclform</morph>
</infl>
<infl>
<term xml:lang=""lat""><stem>quid</stem></term>
<pofs order=""5"">pronoun</pofs>
<case order=""4"">accusative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>indef</stemtype>
<morph>indeclform</morph>
</infl>
</entry>
</word>
</words>","<entry>
<dict>
<hdwd xml:lang=""lat"">quis#2</hdwd>
<pofs order=""5"">pronoun</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>quid</stem></term>
<pofs order=""5"">pronoun</pofs>
<case order=""7"">nominative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>indef</stemtype>
<morph>indeclform</morph>
</infl>
<infl>
<term xml:lang=""lat""><stem>quid</stem></term>
<pofs order=""5"">pronoun</pofs>
<case order=""4"">accusative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>indef</stemtype>
<morph>indeclform</morph>
</infl>
</entry>
",,
aaaa0001.xml,4,1,1,sit,la,0,sit,ESSE,SUB,sum,"<words>
<word>
<form xml:lang=""lat"">sit</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">sum#1</hdwd>
<pofs order=""1"">verb</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>sit</stem></term>
<pofs order=""1"">verb</pofs>
<mood>subjunctive</mood>
<num>singular</num>
<pers>3rd</pers>
<tense>present</tense>
<voice>active</voice>
<stemtype>irreg_pp1</stemtype>
</infl>
</entry>
</word>
</words>",,,
aaaa0001.xml,5,1,1,amor,la,0,amor,N,nom,amor,"<words>
<word>
<form xml:lang=""lat"">amor</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">amo</hdwd>
<pofs order=""1"">verb</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>am</stem><suff>or</suff></term>
<pofs order=""1"">verb</pofs>
<mood>indicative</mood>
<num>singular</num>
<pers>1st</pers>
<tense>present</tense>
<voice>passive</voice>
<stemtype>conj1</stemtype>
<derivtype>are_vb</derivtype>
</infl>
</entry>
<entry>
<dict>
<hdwd xml:lang=""lat"">amor</hdwd>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<gend>masculine</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>am</stem><suff>or</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>or_oLris</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>am</stem><suff>or</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""1"">vocative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>or_oLris</stemtype>
</infl>
</entry>
</word>
</words>","<infl>
<term xml:lang=""lat""><stem>am</stem><suff>or</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>or_oLris</stemtype>
</infl>

",,
aaaa0001.xml,6,1,1,puer,la,0,puer,N,nom,puer,"<words>
<word>
<form xml:lang=""lat"">puer</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">puer</hdwd>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<gend>masculine</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>puer</stem><suff>*</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>0_i</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>puer</stem><suff>*</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""1"">vocative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>0_i</stemtype>
</infl>
</entry>
</word>
</words>","<infl>
<term xml:lang=""lat""><stem>puer</stem><suff>*</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>0_i</stemtype>
</infl>",,
aaaa0001.xml,7,1,1,devotus,la,0,devotus,V,PTC,devoveo,"<words>
<word>
<form xml:lang=""lat"">devotus</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">de_-voveo</hdwd>
<pofs order=""1"">verb</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>de_:vo_t</stem><suff>us</suff></term>
<pofs order=""0"">verb participle</pofs>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<mood>participle</mood>
<num>singular</num>
<tense>perfect</tense>
<voice>passive</voice>
<stemtype>pp4</stemtype>
</infl>
</entry>
</word>
</words>",This should be parsed as an adjective,,
aaaa0001.xml,8,1,1,ad,la,0,ad,PREP,,ad,"<words>
<word>
<form xml:lang=""lat"">ad</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">ad</hdwd>
<pofs order=""6"">preposition</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>ad</stem></term>
<pofs order=""6"">preposition</pofs>
<stemtype>prep</stemtype>
<morph>indeclform</morph>
</infl>
</entry>
</word>
</words>",,,
aaaa0001.xml,9,1,1,matrem,la,0,matrem,N,acc,mater,"<words>
<word>
<form xml:lang=""lat"">matrem</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">mater</hdwd>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<gend>feminine</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>ma_t</stem><suff>rem</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""4"">accusative</case>
<gend>feminine</gend>
<num>singular</num>
<stemtype>er_ris</stemtype>
</infl>
</entry>
</word>
</words>",,,
aaaa0001.xml,10,1,1,suam,la,0,suam,POSS,,suus,"<words>
<word>
<form xml:lang=""lat"">suam</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">sua</hdwd>
<pofs order=""3"">noun</pofs>
<decl>1st</decl>
<gend>feminine</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>su</stem><suff>am</suff></term>
<pofs order=""3"">noun</pofs>
<decl>1st</decl>
<case order=""4"">accusative</case>
<gend>feminine</gend>
<num>singular</num>
<stemtype>a_ae</stemtype>
</infl>
</entry>
<entry>
<dict>
<hdwd xml:lang=""lat"">suo</hdwd>
<pofs order=""1"">verb</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>su</stem><suff>am</suff></term>
<pofs order=""1"">verb</pofs>
<mood>indicative</mood>
<num>singular</num>
<pers>1st</pers>
<tense>future</tense>
<voice>active</voice>
<stemtype>conj3</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>su</stem><suff>am</suff></term>
<pofs order=""1"">verb</pofs>
<mood>subjunctive</mood>
<num>singular</num>
<pers>1st</pers>
<tense>present</tense>
<voice>active</voice>
<stemtype>conj3</stemtype>
</infl>
</entry>
<entry>
<dict>
<hdwd xml:lang=""lat"">suus</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>su</stem><suff>am</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""4"">accusative</case>
<gend>feminine</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
</entry>
</word>
</words>","<entry>
<dict>
<hdwd xml:lang=""lat"">suus</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>su</stem><suff>am</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""4"">accusative</case>
<gend>feminine</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
</entry>
",,
